locale|ru
DIALOG_PIRATE_BUSINESS_ORE_I|У нас есть руда на продажу. Высококачественная, обработанная, просто ждёт в кольцах, в красивом, аккуратном контейнере. Вам просто нужно принести с собой люльку и забрать её. 100 тысяч, и она ваша.

DIALOG_PIRATE_BUSINESS_ORE_II|У нас есть руда на продажу. Высококачественная, обработанная, просто ждёт в кольцах, в красивом, аккуратном контейнере. Вам просто нужно принести с собой люльку и забрать её. 100 тысяч, и она ваша.

DIALOG_PIRATE_BUSINESS_ORE_III|У нас есть руда на продажу. Высококачественная, обработанная, просто ждёт в кольцах, в красивом, аккуратном контейнере. Вам просто нужно принести с собой люльку и забрать её. 100 тысяч, и она ваша.

DIALOG_PIRATE_BUSINESS_ORE_IV|У нас есть руда на продажу. Высококачественная, обработанная, просто ждёт в кольцах, в красивом, аккуратном контейнере. Вам просто нужно принести с собой люльку и забрать её. 100 тысяч, и она ваша.

DIALOG_PIRATE_BUSINESS_ORE_V|У нас есть руда на продажу. Высококачественная, обработанная, просто ждёт в кольцах, в красивом, аккуратном контейнере. Вам просто нужно принести с собой люльку и забрать её. 100 тысяч, и она ваша.

DIALOG_PIRATE_BUSINESS_ORE_VI|У нас есть большое количество руды на продажу. Высококачественная переработанная руда хранится в одном из суперконтейнеров THI. Вам нужно лишь взять с собой люльку и проявить смекалку, чтобы её забрать. 100 тысяч, и она ваша.

DIALOG_PIRATE_BUSINESS_ORE_BIG_INSTRUCTIONS|Приятно иметь с вами дело. Контейнер вас не узнает и попытается ускользнуть. Как обычно, это не гоночный дрон, однако у него гораздо больше мощности, чем у обычного THICC. Найдите контакт с лидаром и отправляйтесь за ним. Не забудьте взять с собой люльку или манипулятор — он отключится сам, как только вы окажетесь достаточно близко.

SYSTEM_EXBIG|Межлунный контейнер THI

SYSTEM_EXBIG_DESC|На волне успеха предыдущего проекта THI по грузовым решениям, компания начала работу над преемником, который был бы более практичным для межпланетных перевозок. Несмотря на успех первоначального проекта, контейнеры были слишком громоздкими для коммерческого использования, поэтому была разработана модель потребительского класса для межлунной транспортировки между кольцами. Они значительно проще в управлении для шахтеров, а отсутствие необходимости в специализированных двигателях делало их обслуживание сопоставимым с обслуживанием оригинальной линейки грузовых контейнеров. Однако стоимость установки по-прежнему делает THICC популярным среди стартапов.

SYSTEM_EXBIG_SPECS|Вместимость хранилища: 45 000 кг / тип руды \nЭнергопотребление (номинальное): 20 МВт \nМасса пустого аппарата: 5000 кг \nМасса люльки: 500 кг \nЗапас рабочего тела: 4500 кг \nПроизводитель: Titan Heavy Industries, Experimental Resize

SYSTEM_EXBIG_MANUAL|Автоматически хранит переработанную руду.\nвид руды на хранении выбирается на вкладке «Геолог».\nДля эффективного использования требуется установка для переработки минералов.\nУстановка лишь одного контейнера может нарушить развесовку корабля.\nМожет быть сброшен отключением подвеса.\nСброшенный контейнер попытается автоматически вернуться на станцию ​​с грузом.\nПустая люлька может использоваться дляподбора дронов и спасательных капсул.

POI_SCRAP|Место происшествия при добыче

DIALOG_POI_RANDOM_6|Капитан, один из моих бывших коллег заглянул ко мне, когда мы были на Энцеладе. Он сказал, что мой бывший капитан попал в неприятности во время добычи. Можем ли мы взглянуть, всё ли в порядке?

DERELICTDELIGHTS_SUGGEST|Предложить новые варианты загрузки корабля

DIALOG_STORAGE_THX|Контейнер скоро должен появиться на лидаре. Вам нужно будет вручную забрать его для соблюдения протоколов безопасности. Обратите внимание, что контейнеры нельзя отправлять один за другим.

NEARBYCONTAINER|Пустой грузовой контейнер рядом

NEARBYCONTAINERMONO|Пустой моногрузовой контейнер рядом

DIALOG_STORAGE_NEED_CONTAINER|Мне нужен новый контейнер

DIALOG_STORAGE_THIMC|Мне нужен новый моногрузовой контейнер!

DIALOG_STORAGE_THICC|Мне нужен новый грузовой контейнер!

DIALOG_STORAGE_OPTIONS|Какой тип контейнера вам нужен?

DIALOG_HABITAT_NEED_W|Приветствую, {target/shipname}. У вас есть переработанный вольфрам для торговли? Каркасу жилого отсека не помешал бы ремонт.

DIALOG_HABITAT_NEED_W_DESPERATE|Я очень рад вас видеть, {target/shipname}. Нам бы очень пригодился переработанный вольфрам, каркас потерял целостность. Мы заплатим вам премию.

DIALOG_HABITAT_NEED_BE|Приветствую, {target/shipname}. У вас есть переработанный бериллий для торговли? Нашему реактору нужны в несколько запасных отражателей.

DIALOG_HABITAT_NEED_BE_DESPERATE|Я очень рад вас видеть, {target/shipname}. Нам бы очень пригодился переработанный бериллий, наш реактор нуждается в ремонте, а отражателей не хватает. Мы заплатим вам премию.

DIALOG_HABITAT_CONSTRUCTION_NEED_W|Приветствуем, {target/shipname}. У вас есть обработанный вольфрам для торговли? Наш каркас нужно быстро укрепить перед креплением.

DIALOG_HABITAT_CONSTRUCTION_NEED_W_DESPERATE|Я очень рад вас видеть, {target/shipname}. Нам очень нужен обработанный вольфрам. Мы отстаём от графика по завершению каркаса, и наша поставка задерживается. Мы заплатим вам премию.

DIALOG_HABITAT_CONSTRUCTION_NEED_V|Приветствуем, {target/shipname}. У вас есть обработанный ванадий для торговли? Нам нужно пополнить запасы инструментальных головок.

DIALOG_HABITAT_CONSTRUCTION_NEED_V_DESPERATE|Очень рад вас видеть, {target/shipname}. Нам очень нужен ванадий, у нас закончились головки для инструментов, и наша поставка задерживается. Мы заплатим вам премию.

DIALOG_HABITAT_CONSTRUCTION_NEED_FE|Добро пожаловать, {target/shipname}. У вас есть обработанное железо на продажу? Нам бы не помешало немного, чтобы укрепить каркас.

DIALOG_HABITAT_CONSTRUCTION_NEED_FE_DESPERATE|Очень рад вас видеть, {target/shipname}. Нам очень нужен железо, нам очень нужно отремонтировать каркас, и наша поставка задерживается. Мы заплатим вам премию.

DIALOG_HABITAT_CONSTRUCTION_NEED_PT|Добро пожаловать, {target/shipname}. У вас есть обработанная платина для торговли? Она нам нужна для ремонта неисправной проводки.

DIALOG_HABITAT_CONSTRUCTION_NEED_PT_DESPERATE|Я очень рад вас видеть, {target/shipname}. Нам очень нужна платина, у нас серьёзные проблемы с электрикой, и наша поставка задерживается. Мы заплатим вам премию.

DIALOG_HABITAT_CONSTRUCTION_NEED_PD|Добро пожаловать, {target/shipname}. У вас есть обработанный палладий для торговли? Нам бы не помешало пополненить наши скрубберы.

DIALOG_HABITAT_CONSTRUCTION_NEED_PD_DESPERATE|Я очень рад вас видеть, {target/shipname}. Нам очень нужен палладий, он очень нужен для работы над нашими скрубберами. Мы заплатим вам премию.

DIALOG_HABITAT_CONSTRUCTION_NEED_BE|Приветствую, {target/shipname}. У вас есть переработанный бериллий для торговли? Нашему реактору не помешали бы запасные отражатели.

DIALOG_HABITAT_CONSTRUCTION_NEED_BE_DESPERATE|Я очень рад вас видеть, {target/shipname}. Нам бы очень пригодился переработанный бериллий. Наш реактор остро нуждается в ремонте из-за воздействия радиации, и у нас недостаточно отражателей. Мы заплатим вам премию.

DIALOG_HABITAT_CONSTRUCTION_NEED_WATER|Приветствую, {target/shipname}. У вас есть переработанный бериллий для торговли? Мы близки к отрицательному балансу потребления воды.

DIALOG_HABITAT_CONSTRUCTION_NEED_WATER_DESPERATE|Я очень рад тебя видеть, {цель/название корабля}. Нам очень нужно рабочее тело, наш резервуар для воды почти пуст, и у нас нет переработчика, чтобы её собрать. Мы заплатим тебе премию.

POI_HABITAT_BUILDING|Строительство жилого отсека

DIALOG_MINER_SEEN_YES_BUILDING|Мы прошли мимо нового жилого комплекса неподалёку, который строился и нуждался в переработанной руде, но у нас нет переработчика минералов на {origin/shipname}.

SYSTEM_EXSUPER|Экспериментальный межпланетный контейнер

SYSTEM_EXSUPER_DESC|Межпланетный контейнер, созданный по образцу успешного грузового контейнера THI, был призван стать решением для долгосрочного хранения, эквивалентным как временным, так и постоянным исследовательским и жилым станциям в поясах и кольцах Солнца. Межпланетный контейнер был разработан в 6 раз более объёмным, чем классический THICC. Этот дополнительный объём сделал контейнер значительно громоздким, что потребовало установки шести реактивных двигателей гоночного уровня, а также внешних топливных баков для их питания. Из-за возросшей массы он стал крайне непрактичным в полётах и ​​стал слишком разбалансированным для управления большинством кораблей, что сделало его непригодным для высокой манёвренности, необходимой для безопасной работы в кольцах. Теперь они используются исключительно для межпланетных перелётов. \n\nВ связи с особенностями лицензирования оборудования на Энцеладе Прайм, их всё ещё можно получить, несмотря на запрет, предусмотренный «дедушкиной оговоркой», которая позволяет любому капитану, законно спасшему судно с соответствующими документами и лицензией, использовать их на любом судне своей компании.

SYSTEM_EXSUPER_SPECS|Грузоподъёмность: 120 000 кг / тип руды \nЭнергопотребление (номинальное): 20 МВт \nМасса пустого аппарата: 25 000 кг \nМасса люльки: 500 кг \nЗапас рабочего тела: 30 000 кг \nПроизводитель: Grandfathered (первоначально Titan Heavy Industries)

SYSTEM_EXSUPER_MANUAL|Автоматически хранит переработанную руду.\nвид руды на хранении выбирается на вкладке «Геолог».\nДля эффективного использования требуется установка для переработки минералов.\nУстановка лишь одного контейнера может нарушить развесовку корабля.\nМожет быть сброшен отключением подвеса.\nСброшенный контейнер попытается автоматически вернуться на станцию ​​с грузом.\nПустая люлька может использоваться дляподбора дронов и спасательных капсул.

DIALOG_INTERPLANETARY_WEIRD|Что вообще не так с этим контейнером? У него очень высокотехнологичные двигатели для контейнера, пусть даже и слишком большого. Возможно, кто-нибудь из историков сможет дать нам более подробную информацию?

AGENDA_HISTORIAN_INTERPLANETARY_IS_IT|Погодите-ка, это разве не один из тех межпланетных контейнеров? Я знал, что он выглядит слишком большим для чего-то коммерческого.

AGENDA_HISTORIAN_INTERPLANETARY_IT_IS|Да, согласно этой записи в базе данных об истории грузовых контейнеров, межпланетный контейнер является предшественником межлунного, однако его использование в пределах колец было ограничено из-за высокой стоимости надёжности и нестабильности массовых перемещений.

AGENDA_HISTORIAN_INTERPLANETARY_WONDER|Держу пари, если бы мы нашли корабль с одним из этих экспериментальных контейнеров, мы могли бы получить на него лицензию. Он всё ещё может пригодиться, даже учитывая, насколько ненадёжными они, по слухам, были.

DIALOG_HABITAT_BUILDING_CONTAINER_ASK|Мы нашли один из этих межпланетных контейнеров, просто валявшийся в кольцах. У него не было транспондера, поэтому мы перепрограммировали его как свой и отправили домой. Мы думали, что их просто нашли брошенными после неудачных испытаний, прежде чем их забраковали.

DIALOG_HABITAT_BUILDING_CONTAINER_EXPLAIN|Это был один из контейнеров, которые мы отправили. Мы отставали от графика и решили использовать их для ускорения поставок минералов. Мы не думали, что потеряем так много из-за пиратов.

DIALOG_HABITAT_BUILDING_CONTAINER_GRANDFATHER|Хотя контейнеры и забракованы в кольцах, у нас есть подрядчик, которому повезло найти брошенный контейнер со старых испытаний. Документы на контейнеры были целы, и он получил разрешение на их использование благодаря передаче лицензий.

DIALOG_HABITAT_BUILDING_CONTAINER_FIND|Мало какие корабли, оснащённые такими контейнерами, когда-либо испытывались в кольцах, поэтому найти их практически невозможно. Если вы поспрашиваете, возможно, вам удастся найти кого-нибудь, кто что-то о них знает. Возможно, он сможет помочь больше, чем мы.

DIALOG_ASK_ABOUT_SUPER_THICC|Мы хотели бы узнать, не знаете ли вы что-нибудь об остатках экспериментальных межпланетных грузовых контейнеров, которые испытывались в кольцах?

DIALOG_ASK_SORRY|К сожалению, мы ничего не знаем. Мы слышали о них только слухи.

DIALOG_ASK_HINTS|Мы ничего не знаем, но иногда встречаются команды, которые пытаются найти редкие или уникальные предметы, подобные этим. Возможно, вы получите лучший результат, если встретите одного из таких капитанов.

DIALOG_ASK_ACTUALLY_YES|Вообще-то, да, у нас кое-что есть. Мы нашли старый корабль, который, как мы полагаем, использовался для их испытаний. Мы сохранили координаты, и он недалеко отсюда. Судя по всему, он может пригодиться вам больше, чем нам, если вы спрашиваете.

DIALOG_SUPER_THICC_DERELICT_THIS|Ну, это, должно быть, один из испытательных кораблей для межпланетного контейнера. Похоже, он не установлен, так что будем надеяться, что на борту есть необходимые документы.

DIALOG_SUPER_THICC_DERELICT_THIS_GO|Скафандр готов, {agenda/firstname}? Надо проверить.

DIALOG_SUPER_THICC_DERELICT_THIS_EVA|Уже готовлю. Постараюсь сделать это путешествие максимально лёгким.

DIALOG_SUPER_THICC_DERELICT_THIS_DOCUMENTS|Похоже, эту кучу хлама действительно выбросили в спешке. Вся каюта завалена бумагами. К счастью, лицензионные документы, похоже, всё ещё в своём ящике. Похоже, всё с ними в порядке.

DIALOG_SUPER_THICC_DERELICT_THIS_TAKE|Хоть он и выглядит довольно повреждённым снаружи, судя по его системам через компьютер, большая его часть всё ещё работает, и, по крайней мере, реактор, похоже, работает. Я попробую и разберусь с остальным на Энцеладе.

DIALOG_STORAGE_DYNA|Мне нужен новый дина-контейнер!

DIALOG_PIRATE_BUSINESS_SHIP_DRONE_OCP|Нашли, предположительно, гражданскую модификацию одного из этих строительных кораблей, дающую дополнительную точку для дрона. Мы не нашли ему особого применения, поэтому предлагаем его за 350 тысяч, чтобы избавиться от него.

DIALOG_PIRATE_BUSINESS_SHIP_HEAVY_COTHON|У нас есть очень странная модификация древнего «Cothon». Одна из его передних низконапряжённых точек подвески заменена на, похоже, высоконапряжённую. Похоже, это обуза для нас, так что он может стать вашим за 250 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_TSUKUYOMI|Мы нашли очень старый фрегат «Tsukuyomi». Разбитый до основания, и, вероятно, в сущности представляет собой лишь металлолом, но корпус целый. Всё равно это огромная штука, поэтому мы просим за неё семь с половиной миллионов.

DIALOG_PIRATE_BUSINESS_SHIP_STUB|У меня есть укороченный Titan. На нём приличное количество оборудования, но очень странный набор того, что можно на него установить. Отдаётся за 900 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_ATLAS|У нас на складе есть экспериментальная модификация для кораблей ATLAS Edgerunner. По сути, к одному из них крепится спасательная капсула и прочее барахло, чтобы экипаж мог им управлять. Понятия не имею, насколько это законно, но он ваш за 400 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_LUX|У меня на складе есть премиальный вариант Cothon'а. Он значительно улучшен по сравнению со старым дизайном во многих отношениях, поэтому мы добавим к обычной цене, которую мы предлагаем для этой линейки кораблей. 250 тысяч за всё.

DIALOG_PIRATE_BUSINESS_SHIP_PIDGEON|У нас тут есть Pidgeon Prospector. По сути, это вариант Vulture с расширенным отсеком и со всеми функциями Pelican. Всё ваше за 550 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_CERF|Недалеко отсюда есть гражданская модификация поисково-спасательных кораблей MAD-CERF. В ней отсутствуют некоторые стандартные функции, а замена жилого отсека и узла подвески для увеличения возможностей добычи ресурсов делает его непригодным для нас, поэтому мы уступим его вам за 800 тысяч, если это вас интересует.

DIALOG_PIRATE_BUSINESS_SHIP_OBERON|Мы нашли высокопроизводительное гоночное судно. Чудо, что оно всё ещё цело, учитывая, насколько сильно повреждены некоторые его части, но оно всё ещё великолепно. Один миллион за всё.

DIALOG_PIRATE_BUSINESS_SHIP_DEEP_DISH|Получил модификацию строительного корабля для добычи полезных ископаемых. По сути, она просто добавляет несколько функций к оригинальному дизайну, чтобы немного упростить добычу, поэтому для нас она не слишком полезна. Всё, что нужно, за 500 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_SNAP|Получил раннюю версию строительного корабля OCP. Его дверь имеет две подвижные части, а не одну, как у современных кораблей, что делает её более центрально расположенной. В прошивке даже есть звуки из видеоигры конца XX века. 500 тысяч за корабль.

DIALOG_PIRATE_BUSINESS_SHIP_OK720|Получил очень странный проект корабля, в котором грузовой отсек OCP был приварен к корпусу одного из неудавшихся кораблей K44. Получился довольно огромный отсек. 300 тысяч за полный пакет.

DIALOG_PIRATE_BUSINESS_SHIP_RAM|У меня есть гражданская модификация K37, которая обладает рядом особенностей кораблей класса «Prospector». Очень функциональна и хороша для добыч, но пилотировать её довольно неудобно. 250 тысяч за корабль.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_COTHON_MKI|Нашёл один из модифицированных кораблей «Cothon» от KTI. В качестве шахтёрского судна он вполне подходит по сравнению с другими более современными кораблями, так что определённо имеет свою ценность. 250 тысяч за корабль.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_COTHON_MKII|Нашёл один из модифицированных кораблей «Cothon» от KTI. В качестве шахтёрского судна он вполне подходит по сравнению с другими более современными кораблями, так что определённо имеет свою ценность. 250 тысяч за корабль.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_K225|Нашёл один из комплектов модернизации Titan от KTI. Он похож на стандартный Titan, но с несколькими дополнительными позициями оборудования и призовой функцией — вторым слотом для вспомогательной силовой установки. Он ваш за миллион с четвертью.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_KSERIES|К нам в руки попала одна из модификаций K-Series от KTI. Это модификация K37. По сути, добавляет несколько стыковочных отсеков к стандартной комплектации, ничего особенного. 250 тысяч за комплект.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_KSERIES_LCB|К нам в руки попала одна из модификаций K-Series от KTI. Это модификация KX37. По сути, добавляет несколько стыковочных отсеков к стандартной комплектации, ничего особенного. 250 тысяч за кирку.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_KITSUMO|К нам прилетел один из демилитаризованных «Кицунэ», и один завалялся у нас. Этот — одна из попыток KTI улучшить его, добавив высокопрочную точку подвески и слот для горелки. Мы не видели особого смысла в его использовании, поэтому можем предложить вам его. Мы предлагаем за него 250 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_OCP230|Некоторые строители Obonto Seven оставили один из своих кораблей незапертым во время инспекционного перерыва. Каким-то образом нам удалось забрать его, они не заметили, пока не стало слишком поздно. Похоже, этот — одна из модификаций KTI. Он слишком громоздкий, на наш взгляд, так что можете посмотреть его за 500 тысяч.

DIALOG_HABITAT_BUILDING_CONTAINER_YOU_SEEM|Знаете, я удивлён, что ваша надстройка ещё не закончена. Разве вы обычно не получаете грузы вместе с шахтёрами, которые снабжают вас ресурсами по пути?

DIALOG_HABITAT_BUILDING_CONTAINER_REASON|Обычно мы не говорим об этом даже подрядчикам, однако мы считаем вас достаточно надёжным. \n\nУ нас есть один подрядчик, которому удалось получить лицензию на экспериментальные межпланетные контейнеры. Они отправили их нам вместо стандартных грузовых контейнеров, пусть и медленнее, чем обычные поставки, но они обеспечили более быстрый способ их получения. \n\nКонечно, это было рискованно. Меньше отдельных поставок означает более серьёзные последствия, если что-то пойдёт не так, что и произошло. Большинство запланированных поставок пропало, и мы давно не видели подрядчика, чтобы изменить заказ. Некоторые сообщали о том, что контейнеры работают без транспондера, поэтому мы можем лишь предположить, что это из-за пиратов.

DIALOG_HABITAT_BUILDING_CONTAINER_OBTAIN|Что касается того, как они получили лицензию, мы не можем сказать наверняка, но полагаем, что это своего рода «дедушкина оговорка» на верфи Энцелада Прайм. Что-то связанное с тем, что оборудованию разрешено использовать по протоколам безопасности которые были предоставленны ему при выдаче лицензии. Вероятно, это означает, что они нашли один из кораблей, брошенных в кольцах ещё со времён испытаний. По сути, это означает, что если вам удастся найти корабль с действующей лицензией на них, вы сможете установить их на свой корабль.

DIALOG_HABITAT_BUILDING_CONTAINER_HELP|Возможно, если вы поспрашиваете другие экипажи, вы найдёте кого-нибудь, кто что-то о них знает, и он сможет помочь больше, чем мы.

MENU_DERELICTDELIGHTS_CONFIG|Конфигурация заброшенных технологий

SETTINGS_ADD_EQUIPMENT|Добавить новое оборудование

SETTINGS_ADD_EQUIPMENT_TOOLTIP|Добавляет оборудование, предоставляемое Abandoned Technologies. \nВключает межлунный контейнер THI и экспериментальный межпланетный контейнер. \nДля получения последнего могут потребоваться другие переключатели, так как это квестовый предмет.

SETTINGS_ADD_AGENDAS|Добавить новые повестки дня для команды

SETTINGS_ADD_AGENDAS_TOOLTIP|Основной переключатель для включения любых настроек, включенных в разделе «Повестка дня».

SETTINGS_ADD_EVENTS|Добавить новые события

SETTINGS_ADD_EVENTS_TOOLTIP|Основной переключатель для включения событий, предоставляемых этим модом.

SETTINGS_REQUEST_NEW_CONTAINERS|Включить запросы на контейнеры

SETTINGS_REQUEST_NEW_CONTAINERS_TOOLTIP|Добавляет новую опцию диалога для любого варианта грузового контейнера, позволяющую запросить новый грузовой контейнер или контейнер-монокарго.

SETTINGS_ADD_OBONTO_BALANCE|Новые сделки и балансировка хижин Обонто

SETTINGS_ADD_OBONTO_BALANCE_TOOLTIP|Включена переработка сделок хижин Обонто, что позволяет предлагать вольфрам или бериллий. \nДобавляет ограничение по массе для всех продаваемых минералов, чтобы сделать торговлю с хижинами немного менее мощной. \nЛимиты снижены до 50% и 25% от обычных лимитов на минералы для вольфрама и бериллия соответственно.

SETTINGS_EXPAND_SHIP_LOADOUTS|Расширить комплектацию корабля

SETTINGS_EXPAND_SHIP_LOADOUTS_TOOLTIP|Добавляет дополнительные комплектации корабля по умолчанию, доступные на торговых кораблях, NPC-шахтерах и заброшенных кораблях. Вы можете предложить дополнительные варианты комплектации с помощью кнопки на титульном экране.

SETTINGS_ADD_MOD_SUPPORT|Включить поддержку модов

SETTINGS_ADD_MOD_SUPPORT_TOOLTIP|Основной переключатель для включения поддержки всех модов. Проверьте файл DDSettings.cfg в папке сохранения или спросите на странице мода, какие именно моды поддерживаются.

SETTINGS_ADD_DERELICTS|Расширить список заброшенных кораблей

SETTINGS_ADD_DERELICTS_TOOLTIP|Добавляет 14 вариантов стандартных кораблей, отсутствующих в заброшенном состоянии, в список событий. \nТребуется для модифицированных заброшенных кораблей.

SETTINGS_ADD_NEW_NPCS|Расширить выбор кораблей NPC

SETTINGS_ADD_NEW_NPCS_TOOLTIP|Добавляет 13 стандартных кораблей в пул кораблей, доступных NPC. \nКорабли K44 и K225 (модифицированные) пока не найдены Гильдией шахтёров. Требуется для модифицированных NPC.

SETTINGS_ADD_HABITAT_UNDER_CONSTRUCTION|Добавить строящееся жилище

SETTINGS_ADD_HABITAT_UNDER_CONSTRUCTION_TOOLTIP|SRA-08 можно найти в кольцах. Он обладает уникальными возможностями торговли и взаимодействия и требуется для большей части сюжетных линий историка.

SETTINGS_ADD_NEW_FACTION_ENCOUNTERS|Включить новые встречи, специфичные для фракций

SETTINGS_ADD_NEW_FACTION_ENCOUNTERS_TOOLTIP|Добавляет новые встречи как с Вилси, так и с Ганимедцами. Некоторые встречи происходят только после уничтожения соответствующей станции.

SETTINGS_ADD_NEW_ROGUE_CONTAINERS|Контейнеры-отступники используют оборудование DD

SETTINGS_ADD_NEW_ROGUE_CONTAINERS_TOOLTIP|Контейнеры-отступники используют межлунные и межпланетные контейнеры. Требуется для сюжетной линии историка.

SETTINGS_EXPAND_PIRATE_TRADES|Расширить пиратские предложения

SETTINGS_EXPAND_PIRATE_TRADES_TOOLTIP|Добавляет дополнительные торговые предложения от пиратов, не входящих в 4-ю версию игры, однако они встречаются значительно реже, чем в оригинальной версии.

SETTINGS_ADD_HISTORIAN_AGENDA|Добавить повестку дня для команды историка

SETTINGS_ADD_HISTORIAN_AGENDA_TOOLTIP|Включает повестку дня для команды историка и соответствующие сюжетные линии. Для работы требуется несколько других переключателей.

